feature,mi_score,importance,rfe_rank,mi_rank,importance_rank,avg_rank
numeric__total_prior_utilization,0.03644524913615865,6.556041659789776,1,1.0,1.0,1.0
numeric__number_inpatient,0.034127821374505984,6.320955129751049,2,2.0,2.0,2.0
numeric__number_diagnoses,0.012419406765311836,4.961627363290737,2,3.0,4.0,3.0
numeric__number_outpatient,0.011820640143872518,1.7946856530486461,4,5.0,14.0,7.666666666666667
numeric__number_emergency,0.010147601593792022,1.481430781991032,3,8.0,15.0,8.666666666666666
numeric__admission_type_id,0.006857212334539398,2.911401830026339,3,16.0,12.0,10.333333333333334
numeric__admission_source_id,0.005794916449276988,5.344415676023576,2,28.0,3.0,11.0
numeric__discharge_disposition_id,0.00501820022809496,4.715999330240188,2,37.0,5.0,14.666666666666666
categorical__race_Caucasian,0.0061528367084735525,0.7055204882367357,5,25.0,22.0,17.333333333333332
numeric__medications_per_day,0.00365058434380483,4.3479709573435725,2,45.0,7.0,18.0
categorical__payer_code_MC,0.005081042390410184,1.016256698778812,3,34.0,17.0,18.0
numeric__num_lab_procedures,0.003888726857808722,3.644262640386473,2,43.0,10.0,18.333333333333332
categorical__medical_specialty_InternalMedicine,0.009067225861456585,0.5057006199385081,6,11.0,39.0,18.666666666666668
categorical__age_[80-90),0.00427338582562764,0.9581297212017676,3,40.0,18.0,20.333333333333332
numeric__lab_procedures_per_day,0.003391462107672938,3.9519280497279645,3,49.0,9.0,20.333333333333332
categorical__metformin_No,0.004478218236312559,0.7653155490180961,5,39.0,21.0,21.666666666666668
numeric__num_medications_changed,0.005637856236507144,0.5549732247792799,8,29.0,31.0,22.666666666666668
numeric__num_procedures,0.0029445703319077587,3.088192894809209,3,56.0,11.0,23.333333333333332
categorical__diabetesMed_Yes,0.009647232425668228,0.38069535129867565,8,10.0,53.0,23.666666666666668
categorical__gender_Female,0.005074903769179739,0.5411691092107552,4,35.0,33.0,24.0
categorical__A1Cresult_>8,0.0059784194232339605,0.46326005564566536,4,27.0,45.0,25.333333333333332
numeric__num_medications,0.001966399034010635,4.690773623918387,2,84.0,6.0,30.666666666666668
categorical__insulin_Down,0.0024090452320868483,0.6024767488854986,3,69.0,28.0,33.333333333333336
categorical__diag_1_category_Diabetes,0.0022963184410973447,0.9200713734357673,11,74.0,19.0,34.666666666666664
numeric__num_medications_prescribed,0.0019165158704539387,1.365061129834364,2,86.0,16.0,34.666666666666664
categorical__medical_specialty_Orthopedics-Reconstructive,0.0030702672038944723,0.44560205556385585,5,54.0,47.0,35.333333333333336
categorical__diag_2_category_Injury,0.003490662092798358,0.3541257483834289,4,47.0,58.0,36.333333333333336
categorical__insulin_No,0.006749544205261637,0.292561345641048,17,17.0,77.0,37.0
categorical__glipizide_No,0.006736652509650387,0.3162492480668721,23,18.0,70.0,37.0
categorical__age_[70-80),0.001830737432124696,0.819895429650317,3,91.0,20.0,38.0
categorical__medical_specialty_Gastroenterology,0.006288510798948543,0.2780418215162079,14,23.0,80.0,39.0
categorical__diag_3_category_Other,0.001923229981085628,0.5753689076514958,4,85.0,30.0,39.666666666666664
categorical__diag_2_category_Neoplasms,0.003258144991473033,0.3484452030628452,6,52.0,62.0,40.0
categorical__change_No,0.00560509836398948,0.2520670028879062,9,30.0,84.0,41.0
categorical__payer_code_BC,0.0017407890765921419,0.624605197241593,4,95.0,24.0,41.0
