method,model,trial,params,ROC-AUC,Train Time (s)
Random Search,CatBoost,0,"{'depth': 10, 'learning_rate': 0.1501725572054684, 'iterations': 370, 'l2_leaf_reg': 8}",0.674680865261496,25.97
Random Search,CatBoost,1,"{'depth': 8, 'learning_rate': 0.07614125909890607, 'iterations': 221, 'l2_leaf_reg': 3}",0.6866164194157526,6.28
Random Search,CatBoost,2,"{'depth': 10, 'learning_rate': 0.012184186502221764, 'iterations': 187, 'l2_leaf_reg': 5}",0.674342958745866,12.63
Random Search,CatBoost,3,"{'depth': 7, 'learning_rate': 0.016256670876862694, 'iterations': 230, 'l2_leaf_reg': 6}",0.6749475069798341,4.95
Random Search,CatBoost,4,"{'depth': 8, 'learning_rate': 0.2708160864249968, 'iterations': 591, 'l2_leaf_reg': 6}",0.6615748897138926,18.16
Random Search,CatBoost,5,"{'depth': 5, 'learning_rate': 0.01855998084649059, 'iterations': 376, 'l2_leaf_reg': 1}",0.6767501270256676,7.26
Random Search,CatBoost,6,"{'depth': 7, 'learning_rate': 0.08007296015034579, 'iterations': 352, 'l2_leaf_reg': 9}",0.6873497769549048,7.89
Random Search,CatBoost,7,"{'depth': 4, 'learning_rate': 0.05958758776628972, 'iterations': 610, 'l2_leaf_reg': 10}",0.6854718567325443,9.37
Random Search,CatBoost,8,"{'depth': 7, 'learning_rate': 0.27438159337282275, 'iterations': 882, 'l2_leaf_reg': 3}",0.654942550242812,21.34
Random Search,CatBoost,9,"{'depth': 7, 'learning_rate': 0.05748924681991978, 'iterations': 931, 'l2_leaf_reg': 9}",0.6874620896297758,23.19
Random Search,CatBoost,10,"{'depth': 6, 'learning_rate': 0.18631003721334807, 'iterations': 746, 'l2_leaf_reg': 5}",0.6782150503955915,14.26
Random Search,CatBoost,11,"{'depth': 4, 'learning_rate': 0.012476394272569451, 'iterations': 487, 'l2_leaf_reg': 9}",0.6727524866571799,7.52
Random Search,CatBoost,12,"{'depth': 7, 'learning_rate': 0.06792740114629246, 'iterations': 876, 'l2_leaf_reg': 10}",0.6870656701152371,20.17
Random Search,CatBoost,13,"{'depth': 8, 'learning_rate': 0.021930986997479973, 'iterations': 191, 'l2_leaf_reg': 7}",0.6772155999496772,6.26
Random Search,CatBoost,14,"{'depth': 7, 'learning_rate': 0.05388108577817234, 'iterations': 134, 'l2_leaf_reg': 1}",0.6800611395465455,3.89
Random Search,CatBoost,15,"{'depth': 7, 'learning_rate': 0.018585951462501547, 'iterations': 487, 'l2_leaf_reg': 2}",0.6823060532980622,12.97
Random Search,CatBoost,16,"{'depth': 9, 'learning_rate': 0.05864129169696527, 'iterations': 205, 'l2_leaf_reg': 4}",0.684526867764787,11.3
Random Search,CatBoost,17,"{'depth': 9, 'learning_rate': 0.011123809168675955, 'iterations': 501, 'l2_leaf_reg': 10}",0.6811494167601826,24.73
