stage,notebook,Model,Accuracy,Precision,Recall,F1,ROC-AUC,Train Time (s)
01_baseline,04_baseline_models,CatBoost,0.6377812995245642,0.6312135079690705,0.5422258370611359,0.5833454863642993,0.6917578153916015,28.01
01_baseline,04_baseline_models,LightGBM,0.6358795562599049,0.625673387717408,0.5510370069133794,0.5859881793282399,0.6888593639022026,0.82
01_baseline,04_baseline_models,XGBoost,0.637527733755943,0.6295891266989533,0.5462925308390945,0.5849905646683118,0.6845240268578054,1.05
01_baseline,04_baseline_models,Random Forest,0.629540412044374,0.6257588187038556,0.5170123356377931,0.5662114014251781,0.678026485194694,71.34
01_baseline,04_baseline_models,Logistic Regression,0.627892234548336,0.6244426094137077,0.5125389724820387,0.5629839189994044,0.6677823844591024,4.95
01_baseline,04_baseline_models,Decision Tree,0.5523930269413629,0.5214849061735111,0.519859021282364,0.5206706944538728,0.5504153406006962,31.76
02_feature_engineering,05_feature_engineering,CatBoost,0.637527733755943,0.6287443737389415,0.5491392164836655,0.5862518089725036,0.6869671100127993,19.46
02_feature_engineering,05_feature_engineering,LightGBM,0.634675118858954,0.6255444928438083,0.5450725227057069,0.582542557044549,0.683457887734652,0.66
02_feature_engineering,05_feature_engineering,XGBoost,0.6327733755942948,0.6203281677301732,0.5534770231801546,0.5849989254244573,0.6832125851017091,1.04
03_feature_selection_k150,06_feature_selection,CatBoost,,,,,0.6875645398377964,21.46
03_feature_selection_k150,06_feature_selection,LightGBM,,,,,0.6835063526392655,0.8
04_hyperparameter_optimization,07_hyperparameter_optimization,CatBoost,,,,,0.688050916026244,490.91
04_hyperparameter_optimization,07_hyperparameter_optimization,CatBoost,,,,,0.6879561168972531,371.52
04_hyperparameter_optimization,07_hyperparameter_optimization,CatBoost,,,,,0.687481314176452,411.7
04_hyperparameter_optimization,07_hyperparameter_optimization,LightGBM,,,,,0.6871182591774289,126.39
04_hyperparameter_optimization,07_hyperparameter_optimization,LightGBM,,,,,0.6865623614755193,66.87
04_hyperparameter_optimization,07_hyperparameter_optimization,LightGBM,,,,,0.6858446612077993,116.89
05_final_test_evaluation,07_hyperparameter_optimization,CatBoost,,,,,0.692211861219966,35.59
